TITLE	p-GaN-NP
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:56:37
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    76.30771
MAXY	    79.46679
MINY	     0.00225
XYDATA
730.2000	75.1879
730.1000	75.0503
730.0000	74.9214
729.9000	74.781
729.8000	74.6466
729.7000	74.5091
729.6000	74.3743
729.5000	74.2378
729.4000	74.0992
729.3000	73.9641
729.2000	73.8318
729.1000	73.6967
729.0000	73.5639
728.9000	73.4328
728.8000	73.3011
728.7000	73.1731
728.6000	73.0476
728.5000	72.9191
728.4000	72.7905
728.3000	72.6699
728.2000	72.5471
728.1000	72.431
728.0000	72.3148
727.9000	72.1977
727.8000	72.086
727.7000	71.9838
727.6000	71.8751
727.5000	71.7753
727.4000	71.671
727.3000	71.5735
727.2000	71.4806
727.1000	71.3889
727.0000	71.2948
726.9000	71.2092
